ID;Could be translated;Could not be translated;Understanding;Knowledge;Confounder;Other;None;Supporting;Need;Translation Clara;Translation Darina;Hate;;;;;;
34018;;;;A1:  A2: x;;;A1: x A2: ;A1:  A2: x;;Scheiß auf die Katholiken \n Scheiß auf die katholische Kirche Scheiß auf den Papst;Fick die Katholiken \n Fick die katholische Kirche \n fick den Papst;A1:  A2: x;;;;;;
34528;A1: x A2: ;A1:  A2: x;;;;;;;x;Jede Küche \n braucht einen Sandwichmaker genau wie diesen;Jede Küche \n braucht einen Sandwichmaker \n genau wie sie;x;;;;;;
34975;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;;Was ist wenn der einzige Grund warum Maria schwanger wurde… \n ist, weil Gott schwul ist und eine Leihmutter brauchte;Was ist wenn der einzige Grund \n dass Maria schwanger wurde ... \n der ist dass Gott schwul ist \n und eine Leihmutter gebracht hat;;;;;;;
35840;A1: x A2: ;A1:  A2: x;;;;;;;x;Ich habe eine Spülmaschine bestellt \n und sie haben mir einen Sandwichmaker geschickt;Ich habe eine Spülmaschine bestellt \n und einen Sandwichmaker bekommen.;x;;;;;;
36058;;;;;A1:  A2: x;;;x;;Liebe ist Liebe;Liebe ist Liebe.;;;;;;;
37198;;;;;A1:  A2: x;;;x;;Wenn du so entspannt bist, dass du fühlen kannst \n wie du zum nächsten Level kommst;Wenn du so entspannt bist \n dass du fühlst \n wie du zum nächsten Level kommst;;;;;;;
37912;;;;x;;;;x;;Derek Chauvin wird Schutz brauchen \n weil er auf jeden Fall attackiert werden wird;Derek Chauvin wird Schutz brauchen \n weil er ganz bestimmt angegriffen werden wird.;;;;;;;
38047;;;;;;;;A1:  A2: x;A1: x A2: ;"""Dumme Schlampe"" \n ist keine Rasse";"""Dumme Hure"" ist keine Rasse";;;;;;;
38195;;;;x;;;;;x;Ich sehe den \n Rauch auswandern;Ich sehe den Rauch aufsteigen;x;;;;;;
39264;;;A1:  A2: x;;;;;x;;Meine Frau hat mich einen guten Ehemann genannt \n das ist ein großes Kompliment!;Meine Frau nennt mich einen guten Ehemann \n das ist ein großes Kompliment;;;;;;;
39456;;;;;A1:  A2: x;;;x;;Filmabend!;Filmeabend!;;;;;;;
39578;A1: x A2: ;;;A1:  A2: x;;;;;x;Eine der Kugel, die sie aus einem der Opfer des \n Orlando Schwulendisco Amoklaufs geholt haben;Eine der Kugeln die sie \n aus einem Opfer des \n Anschlags von Orlando geholt haben;x;;;;;;
39607;;;;x;;;;;x;Diese dummen Bastarde \n haben gedacht es sei eine echte Dusche;Diese dummen Bastarde dachten, es seien echte Duschen;x;;;;;;
41058;;;A1: x A2: ;x;;;;x;;John Wilkes Stand so: \n seid ihr sicher Abraham Lincoln ist Tod? Er ist nicht hier oben;John Wilkes Booth so: \n seid ihr sicher dass Abraham \n Lincoln tot ist? Er ist nicht hier oben;;;;;;;
41276;;;A1:  A2: x;;;;;A1:  A2: x;A1: x A2: ;Evolution \n vom Bananen schälen \n zum zerbrechen von Kappen;Evolution \n vom Bananenschälen \n zum schießen;A1: x A2: ;;;;;;
41328;;;;;;;;x;;Koreaner;Koreaner;;;;;;;
41728;A1: x A2: ;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;Ich glaube sie sind wie Rassismus. \n Sollte nicht existieren;Ich glaube sie sind wie Rassismus. \n Sollten einfach nicht existieren;A1: x A2: ;;;;;;
41890;;;;x;;;;;x;Haus der Pädophilen;Haus der Pädophilen;A1: x A2: ;;;;;;
42501;;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;Wie Ferkel geboren werden;Wie Ferkel zur Welt kommen;;;;;;;
42580;A1: x A2: ;;;;;A1:  A2: x;x;;;Jack und Jill gehen den Hügel hoch, damit Jack ihre Süßigkeit lecken kann \n aber Jack hat einen Schock bekommen und einen Mund voll Schwanz weil Jill echter Name war Randy;Jack und Jill gingen einen Berg hoch \n so dass Jack ihre Süßigkeiten lecken konnte \n aber Jack bekam einen Schock und einen Mund voll Schwanz \n weil Julls echter Name \n Randy war;;;;;;;
42631;;;;;;;;;x;Ich glaube sie sind wie Rassismus \n sollten nicht existieren;Ich glaube sie sind wie Rassismus \n sie sollten einfach nicht existieren;x;;;;;;
43275;A1: x A2: ;A1:  A2: x;;;;;;;x;Mein Mann schubst mich immer herum…\n und redet hinter meinem Rücken;Mein Mann schubst mich immer rum ... \n und redet hinter meinem Rücken;;;;;;;
43805;;;;x;;;;;x;Die originale Vogelscheuche;Die Original Vogelscheuche;;;;;;;
43910;x;;;A1: x A2: ;;;;x;;Ich habe gerade eine Firma gegründet, die Landminen verkauft, die wie Gebetsteppiche aussehen \n Propheten gehen durch die Decke;Ich hab grad \n ne  Firma gegründet die \n Landminen verkauft die aussehen \n wie Gebetsmatten \n Propheten gehen \n durch die Decke;A1: x A2: ;;;;;;
46291;;;;;;;;x;;Ich werde verrückt \n wenn sich nicht alles um mich dreht!;Ich bin wütend \n wenn es nicht um mich geht;;;;;;;
46518;;;A1:  A2: x;;;;;A1:  A2: x;A1: x A2: ;Es ist der Ziegenficker,\n sieht aus als wären ein paar Schweine über dein Grab gelaufen;Hier der Ziegenficker \n sieht aus als sei ein Haufen Schweine über dein Grab gelaufen;x;;;;;;
46920;;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;Wir wollen die Sharia!! \n Gut… Dann geh nach Hause;Wir wollen das Sharia Gesetz \n dann ... geht nachhause;A1: x A2: ;;;;;;
47016;A1: x A2: ;A1:  A2: x;;x;;;;;x;"Das letzte Sommerlager \n war so ""lit""";"Letztes Sommerlager \n war so \n ""heiß""";x;;;;;;
47162;A1: x A2: ;A1:  A2: x;;;;;;;x;Was haben diese beiden gemeinsam? \n Sie sind beide gut im Saugen \n Sie kommen beide mit einem Beutel;Was haben die beiden gemeinsam? \n Sie können beide saugen \n und kommen mit ner Tasche;x;;;;;;
47263;;;;x;;;;;x;Vorheizen auf 350 Grad;Vorheizen auf 350 Grad;x;;;;;;
47819;;;;;;;A1: x A2: ;A1:  A2: x;;Oh, Sucht ist keine Krankheit weil sie mit einer Wahl angefangen hat?? \n Erzähl mir mehr darüber warum die Chlamydien in deinem Schritt keine Krankheit sind obwohl es mit einer Wahl angefangen hat.;Ah, also Abhängigkeit ist keine Krankheit weil es \n mit einer Entscheidung begann? \n Erzähl mir mehr darüber wie die Chlamydien \n in deinem Schritt keine Krankheit sind, obwohl es \n mit einer Entscheidung begann;;;;;;;
47950;;;A1:  A2: x;A1: x A2: ;;;;x;;Demokraten Ilhan Omar Alexandria Ocasio-Cortez Ayanna Pressley Rashida Tlaib Wir sind neu, mutig und wir hassen euch! \n Wir hassen Weiße, Juden, Christen, Konservative, Republikaner;Demokraten \n Ihan Omar Alexandra Ocasio-Cortez \n Ayanna Pressley Rashida Ilais \n wir sind neu, wir sind mutig, und wir hassen euch!;;;;;;;
48296;;;;A1: x A2: ;;;;;x;Wenn du einen asiatischen Jungen datest und \n du versuchst, dass seine Familie dich akzeptierst;Wenn du einen Asiaten datest und \n versuchst seine Familie dazu zu kriegen dich zu akzeptieren;A1: x A2: ;;;;;;
48370;A1: x A2: ;;;A1:  A2: x;;;;;x;72 Jungfrauen sind bereit \n um gefickt zu werden;Die 72 Jungfrauen sind fertig \n um gefickt zu werden;x;;;;;;
49028;A1: x A2: ;;;;;;;x;;Ich habe endlich den G-Punkt meiner Freundin gefunden \n Sieht so aus als wäre er die gesamte Zeit in ihrer Schwester gewesen;Ich hab endlich \n den G-Punkt meiner Freundin gefunden \n wie sich herausstellte war es \n die ganze Zeit ihre Schwester;;;;;;;
50261;;;;x;;;;;x;Die Hater werden sagen, dass ist Photoshop;Hater würden sagen das ist Photoshop;;;;;;;
50317;;;;A1:  A2: x;;;;x;;Was zur Hölle ist falsch mit Amerika \n Handtuchköpfe in den Kongress zu wählen;Was zur Hölle \n stimmt nicht mit Amerika \n Koftuchträger in den Kongress zu wählen;x;;;;;;
51607;;;;A1: x A2: ;A1:  A2: x;;;;x;49 Menschen wurden in Christchurch getötet \n Muslim \n 49 Menschen wurden in Christchurch in einer Moschee getötet;49 Leute wurden in Christchurch getötet \n Moslem \n 49 Leute wurden in Christchurch Moscheen getötet \n Moslem;A1: x A2: ;;;;;;
51862;;;;;A1:  A2: x;;;;x;Menschen die sich über mich lustig machen sind Clowns und Feiglinge;Leute die sich über mich lustig machen sind Narren und Feiglinge;;;;;;;
52319;;;;A1:  A2: x;A1:  A2: x;;;;x;Die Dreharbeiten zu Planet der Affen 2 \n hat angefangen;"Das Schießen von ""Planet der Affen 2"" \n hat begonnen";;;;;;;
52603;;;;;;;;A1:  A2: x;A1: x A2: ;Ich fühl mich niedlich heute, vielleicht klaue ich dein Zeug nachher… Ich weiß nicht;Fühl mich süß, könnte nachher dein Zeug klauen ... weiß nicht;A1: x A2: ;;;;;;
52634;;;;;;;A1: x A2: ;A1:  A2: x;;Das Geheimnis einer erfolgreichen Ehe \n ist seinen Bauch voll und seinen Sack leer zu halten;Das Geheimnis einer erfolgreichen Ehe \n ist seinen Magen voll \n  und seine Eier leer zu halten.;;;;;;;
53769;;;;;;;;x;;In 1979 hat Jimmy Carter das Schulministerium gegründet \n Seitdem ist die U.S.A vom ersten Platz in Bildung auf den 17. gerutscht;1979 hat Jimmy Carter \n das Bildungsministerium geschaffen \n Seitdem ist die USA von \n Platz 1 auf Platz 17 in Bildung gerutscht.;;;;;;;
53968;;;;A1: x A2: ;;;;;x;Wenn du einen 80 Punkte IQ hast, aber \n der der höchste in deinem Dorf ist;Wenn du einen IQ von 80 hast aber \n das der höchste in deinem Dorf ist;A1:  A2: x;;;;;;
54069;x;;;A1: x A2: ;;;;;x;Wenn du entscheidest, Vollgas zu geben;Wenn du dich entscheidest Vollgas zu geben;x;;;;;;
54206;;;;;A1:  A2: x;;;;x;Du kannst den Ekel und \n Hass auf diesem Bild riechen;Du kannst Ekel und Hass \n in diesem Foto riechen;;;;;;;
54780;A1: x A2: ;A1:  A2: x;;;;;;;x;Kaffeekocher in Reisegröße;Reisekaffeemaschine;x;;;;;;
54893;;;;;;;A1: x A2: ;;A1:  A2: x;"Alte Leute auf Hochzeiten stupsen mich immer und sagen ""Du bist der nächste"" \n Also habe ich angefangen das selbe mit ihnen auf Beerdigungen zu machen";"Alte Leute auf Hochzeiten \n tippen mich immer an und sagen ""du bist der nächste!"" \n Also hab ich angefangen \n das Gleiche mit ihnen \n auf Beerdigungen zu machen";;;;;;;
54930;;;;A1: x A2: ;;;;x;;Nicht alle Muslime sind ISIS! \n Manche sind Al-Qaida, der Rest Taliban;Nicht alle Muslime sind beim IS! \n Manche sind bei Al-Qaida \n der Rest ist bei der Taliban;x;;;;;;
56413;A1: x A2: ;;A1:  A2: x;A1: x A2: ;;;;;x;Fühl mich niedlich \n vielleicht schieße ich ein Darkie später, ich weiß noch nicht;Fühle mich süß \n könnte nachher \n was Dunkles schießen;A1: x A2: ;;;;;;
56428;;A1: x A2: ;;A1:  A2: x;;A1:  A2: x;;A1: x A2: ;;Wenn der Shocker sie nicht rockt \n Spock sie;Wenn der Schocker Sie nicht rockt \n spock sie;;;;;;;
56803;;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;So ist es also das Gesetz zu brechen;So fühlt es sich also an das Gesetz zu brechen;;;;;;;
56947;;;A1:  A2: x;;A1: x A2: ;;;x;;Profi-Gamer \n 6.000.000 Kills, 1 Tod;Pro Gamer \n 6.000.000 Kills, 1 Tod;;;;;;;
57208;;;;;A1:  A2: x;;A1:  A2: x;;A1: x A2: ;Ich hatte Kartoffel zum Mittag;Ich hatte ne Kartoffel zum Mittagessen;;;;;;;
57896;;;;;A1:  A2: x;;;x;;Soldat kniet mit seiner Waffe;Soldat kniet mit seiner Waffe;;;;;;;
58213;;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;Ausschreitungen in Baltimore in 2015;Aufstände in Baltimore 2015;;;;;;;
58672;;;;A1: x A2: ;;;A1:  A2: x;;A1: x A2: ;Wusstest du, dass die Chinesen Hunde essen? Ekelhaft Wilde;Wusstet ihr dass die Chinesen Hunde essen? \n Ekelhafte \n Wilde;A1:  A2: x;;;;;;
59738;;;;A1: x A2: ;;;A1:  A2: x;A1: x A2: ;;Was ist der Unterschied zwischen einem Flüchtling und E.T. \n E.T. hat Englisch gelernt und wollte nach Hause;Was ist der Unterschied \n zwischen einem Flüchtling und E.T.? \n E.T. hat Englisch gelernt \n und wollte heim;x;;;;;;
59806;;A1: x A2: ;;A1:  A2: x;;A1:  A2: x;;A1:  A2: x;A1: x A2: ;Am Dienstag, den 3. November 2020, machen wir Amerika wieder groß \n dadurch, dass wir diesen Alptraum aus dem Amt wählen;Am Dienstag, den 03. November 2020 \n werden wir Amerika wieder groß machen \n in dem wir diesen \n Albtraum \n abwählen;;;;;;;
60183;;;;A1: x A2: ;;A1:  A2: x;;;x;Nein danke \n ich bin sehr zufrieden mit meiner Gaslieferung;Nein danke \n ich bin sehr glücklich mit meinem Gasanbieter;x;;;;;;
60724;;;;x;;;;;x;An den schwarzen Kerl der das Meme liest \n Ich bin dein Vater;An den schwarzen Typen der das liest \n ich bin dein Vater;A1: x A2: ;;;;;;
60893;;;;;;A1:  A2: x;;;x;Beschäftigt wie ein Bienenschwarm, kontrolliert was deine Familie sieht und bearbeitet alle Nachrichten, die du hörst, so dass du weißt was du denken und fürchten sollst \n Bis alle Wahrheit, die es gibt, vergangen ist. Das ist wahr außer ihr wehrt euch, in Masse.;Emsig, wie ein Bienenstock, kontrolliert was deine Familie \n sieht und ändert all die Nachrichten die du hörst \n so dass du weißt was du denkst und fürchtest \n bis all die Wahrheit die da ist, verschwindet, \n außer du stehst en masse.;;;;;;;
62035;;;;A1:  A2: x;A1: x A2: ;;;;x;Gott sei dank, mein Arsch \n braucht eine Pause;Gott sei Dank, mein Arsch brauchte ne Pause;A1:  A2: x;;;;;;
62094;;;A1:  A2: x;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;Diese Menschenrechtsbewegung hat angefangen \n weil sich hier etwas geändert hat \n Dank dieser Menschen;Diese Menschenrechtsbewegung hat angefangen \n durch Änderungen hier \n dank dieser Leute;;;;;;;
62948;;;;A1:  A2: x;;;;x;;"Black lives matter \n > ""Wie"", ""Warum"" und ""Wem"" ist unklar";"Schwarze Leben zählen \n > ""Wie"", ""Warum"", und \n ""Für wen"" ist unklar";x;;;;;;
63175;;;A1:  A2: x;A1:  A2: x;;;A1:  A2: x;;A1: x A2: ;Wenn ich unbeschnitten wäre, würde ich Süßigkeiten in meiner Vorhaut verstecken, so dass wenn ein Mädchen kurz davor ist mir einen zu blasen, sie eine angenehme Überraschung hat..\n Oh mein Gott, Skittles;Wenn ich nicht beschnitten wäre würde ich \n Süßigkeiten in meiner Vorhaut verstecken so dass wenn ein \n Mädel mit gerade einen Blasen will \n eine schöne Überraschung hat \n Oh mein Gott Skittles;;;;;;;
63280;;;;A1: x A2: ;;;;;x;So du vergibst den Deutschen niemals wegen dem Holocaust? \n Genau;Also werdet ihr niemals \n den Deutschen den Holocaust verzeihen? \n Genauso.;;;;;;;
64072;;;;x;;;;;x;Trump sagte, Einwanderer kommen her um deine Frau zu stehlen ist ein gutes Beispiel \n Sie hat meine Rede gestohlen;Trump sagte Immigranten kommen her \n und stehlen Deine Frau ist ein gutes Beispiel \n Sie hat meine Rede gestohlen;;;;;;;
65403;;;;x;;;;;x;Geld ist böse \n Gib es uns;Geld ist böse \n gebt es uns;;;;;;;
65832;;;A1:  A2: x;x;;;;;x;Warum den einen lieben und den anderen essen? \n Ich verstehe es nicht;Warum eins lieben und das andere essen? Verstehe ich nicht;A1: x A2: ;;;;;;
67103;;;A1:  A2: x;;;;;;x;Immer noch besser als Mexikaner;Immer noch besser als Mexikanisch;x;;;;;;
67435;;;;x;;;x;;;Wenn du ein jüdisches Mädchen nach ihrer Nummer fragst und sie anfängt ihren Ärmel hochzukrempeln;Wenn du ein jüdisches Mädchen nach ihrer \n Nummer fragst und sie anfängt ihren \n Ärmel hochzukrempeln;A1: x A2: ;;;;;;
68192;;;;;;;;;x;Wissenschaftler arbeiten hart \n um sie alle zu heilen;Wissenschaftler arbeiten hart daran \n sie alle zu heilen;x;;;;;;
68253;A1: x A2: ;;;x;;;;;x;Gratisdecke \n Vielleicht ist der weiße Mann doch nicht so schlimm;Eine Decke für umme \n vielleicht sind Weiße gar nicht so übel;x;;;;;;
68459;;;;A1: x A2: ;;;;;x;Familienausflug in Mexiko;Familienurlaub für Mexikaner;;;;;;;
69512;;;;;A1:  A2: x;;;x;;Happy Birthday \n du sexy Biest;Alles Gute zum Geburtstag \n du sexy Biest;;;;;;;
69815;;;;;;;;A1:  A2: x;A1: x A2: ;Danke dass du mich in dein Land lässt \n Jetzt müssen wir darüber reden, was sich hier alles ändern muss damit es meinem Glauben entspricht;Danke dass du mich \n in deinem Land beherbergst \n jetzt müssen wir über die Dinge reden \n die sich hier ändern müssen \n um meinen Glauben zu beherbergen;;;;;;;
69850;;;;;A1:  A2: x;;;x;;Manchmal wirst du Männer rumlaufen sehen \n mit Waffen auf Paraden;Manchmal sieht man Männer mit Waffen \n auf Paraden rumlaufen;;;;;;;
70953;;;;x;;;;;x;"""Gotts auserwähltes Volk"" \n laut dem Buch, dass sie geschrieben haben";"""Gottes auserwähltes Volk"" \n dem Buch nach \n was sie geschrieben haben";;;;;;;
71269;;;;A1: x A2: ;A1:  A2: x;;;;x;Um Männer wie ihn zu besiegen \n Werden Proteste gehalten, so dass Stimmen gehört werden;Um Männer wie diese zu besiegen \n werden Proteste gemacht sodass Stimmen gehört werden;;;;;;;
71968;;;A1: x A2: ;;;;;A1:  A2: x;A1: x A2: ;"Wenn du ""Blitz deaktivieren"" an deiner Kamera drückst";"Wenn du ""Blitz aus"" auf deiner Kamera drückst";;;;;;;
72864;x;;;x;;;;;x;Reisen durch den Schornstein;Reisen durch Rohre;A1: x A2: ;;;;;;
72904;;;;A1:  A2: x;;;;;x;terroristisches Trojanisches Pferd \n Staatsfeind;Terroristisches Trojanisches Pferd \n Staatsfeind;;;;;;;
73069;;;;A1:  A2: x;;;;;x;Immigration \n Ivasion \n Lerne den Unterschied;Immigration \n Invasion \n lerne den Unterschied;A1: x A2: ;;;;;;
73482;;;;;A1:  A2: x;;;x;;Es ist Zeit, dass wir die Waffen weglegen und \n sie aus der Reichweite unserer Kinder entfernen;Es ist Zeit unsere Waffen abzulegen und \n sie außerhalb der Reichweite von Kindern aufzubewahren;;;;;;;
73601;A1: x A2: ;;;;;;;;x;Wenn du weiß bist \n und dein erstes Fahrrad stiehlst;Wenn du weiß bist und zum ersten Mal klaust;x;;;;;;
73914;;;;A1:  A2: x;;;;;x;Sei vorsichtig wen du in der Schule hässlich nennst;Pass auf, wen du in der Schule als hässlich bezeichnest;x;;;;;;
73962;x;;;;;;;;x;Du solltest das behandeln wie deinen Staubsauger \n Wenn es aufhört zu saugen, wechsel den Beutel;Du solltest es behandeln wie einen Laubbläser, \n wenn es aufhört zu blasen, hol dir’n Neuen;x;;;;;;
74013;;;;;;;;x;;Krankenschwester: Ja, Sir, heute gibt es Kartoffelbrei Alzheimerpatient: \n Ich erinnere mich nicht dich irgendwas gefragt zu haben;Krankenschwester: Ja, der Herr, wir haben heute \n Stampfkartoffeln \n Alzheimer Patient: \n ich kann mich nicht erinnern sie irgendetwas gefragt zu haben.;;;;;;;
74906;;;;;;;;;x;Bist du ein Junge oder ein Mädchen \n Ich bin Non-Binary;Bist du ein Junge oder ein Mädchen? \n Ich bin nichtbinär;A1: x A2: ;;;;;;
