ID;Could be translated;Could not be translated;Understanding;Knowledge;Confounder;Other;None;Supporting;Need;Translation Clara;Translation Darina;Hate;Discard;;;
23015;;;;;;;;;x;Wenn du zum ersten Mal gemeinsam ein Foto machst;Wenn du zum ersten Mal zusammen ein Bild machst;;;;;
23541;;;;;;;;A1: x A2: ;A1:  A2: x;Nur die Starken überleben;Nur die Starken überleben;;;;;
23645;A1: x A2: ;;;A1:  A2: x;;;;;x;Was haben sie gemeinsam? \n Du genießt es sie die Treppe runter zu schubsen;Was haben die beiden gemeinsam? \n man stößt sie gern die Treppe runter;x;;;;
23810;;;;;;;;;x;Das sind keine Menschen;Das sind keine Menschen;x;;;;
24098;;;;A1:  A2: x;;;;;x;Thanksgiving in China;Erntedankfest in China;;;;;
24135;;;;;;A1:  A2: x;x;;;Gute Nacht \n Halte dein Arschloch fest;Gute Nacht \n drück die Arschbacken zusammen;;;;;
24316;;;;;;;;;x;Haie greifen ihn nicht an, warum? \n Sie denken es ist Walscheiße;Haie greifen ihn nicht an \n warum? \n sie glauben er sei Walscheiße;x;;;;
24396;;;;;;;A1: x A2: ;A1:  A2: x;;Also warum sind Männer überhaupt schwul? \n Mädchen haben auch Arschlöcher, weißt du…;Also, warum sind Männer überhaupt schwul? \n Mädels haben auch Arschlöcher, weißte ...;A1: x A2: ;;;;
25061;;;A1:  A2: x;A1: x A2: ;;;;;x;Das ist der Vater des El Paso Angreifers. Jedes. Einzelne. Mal.;Das ist der Vater des El Paso Schützen. Jedes. verdammte. Mal.;x;A1: x A2: ;;;
25149;;x;A1: x A2: ;;;;;;x;Wenn dich das beleidigt \n fehlt dir vielleicht Zehentoleranz;Wenn dich das trifft, könntest du zehenlos-intolerant sein;;x;;;
26187;A1: x A2: ;A1:  A2: x;;;;;;;x;Ich liebe meinen Slow Cooker;Ich mag meinen Langsamkocher;A1: x A2: ;A1:  A2: x;;;
26453;;;;x;;;;;x;Ein zweiter Weltkrieg jüdischer Gefangener versucht den Duschen in Auschwitz zu entkommen (1943, koloriert) \n Zweiter Weltkrieg Jude entkommt Hitlers Weg(?);Ein jüdischer Gefangener im 2WK der versucht \n den Auschwitz Duschen zu entkommen \n [1943, koloriert] \n 2WK Jude entflieht Hitlers Zorn;A1: x A2: ;;;;
26547;;A1: x A2: ;;A1: x A2: ;;A1:  A2: x;;;x;Das ist die Art \n Allah Allah \n Ich mag es;So mag ich  es;x;x;;;
26843;;;;;;;;;x;Wir werden knien um zu beschützen \n und um gegen Unrecht zu protestieren;Wir werden knien um zu beschützen \n und um gegen Ungerechtigkeit zu protestieren;;;;;
26985;;;;;;;;;x;Ich habe gerade erfahren, dass meine Freundin schwanger ist;Hab grad erfahren dass meine Freundin schwanger ist;;;;;
27054;;A1:  A2: x;;;;;;A1: x A2: ;A1:  A2: x;Das ist ein bisschen wild \n Kleines Biest;Nun das ist ein bisschen wild \n kleiner Wilder;;;;;
27384;;;;;;;;A1: x A2: ;A1:  A2: x;Das Gesicht, das du machst \n wenn du ein Mobber bist und gerade von einem Mädchen zusammengeschlagen wurdest;Das Gesicht das du machst \n wenn du ein Tyrann bist \n und gerade von einem Mädchen verprügelt wurdest;;;;;
27485;;;A1: x A2: ;;A1: x A2: ;A1:  A2: x;;;x;Das ist die Art \n Allah Allah Ich mag es;So mag ich  es;;x;;;
27543;A1: x A2: ;;;A1: x A2: ;;;;;x;Lass Ärger und Hass nicht dein Leben ruinieren. \n Nimm dir ein Beispiel an ihm;Lass Zorn und Hass nicht dein Leben ruinieren. \n Nimm ihn zum Beispiel;x;;;;
27635;A1: x A2: ;;A1:  A2: x;;;;;;A1: x A2: ;Dieser Arsch \n ahmarbkrich*d;0;A1: x A2: ;A1:  A2: x;;;
27849;;;;;x;;;x;;Heute habe ich eine Katze bekommen \n und Haustierpflegetipps!;Heute hab ich eine Katze \n und Haustierpflegetips bekommen!;;A1:  A2: x;;;
28190;;x;;A1:  A2: x;;;;;x;Wenn das beenden einer Rasse deine Leidenschaft ist;Wenn ein Rennen zu beenden deine Passion ist;A1: x A2: ;x;;;
28905;;A1: x A2: ;;x;;A1:  A2: x;;;x;Hey, ich hab dich gerade erst getroffen \n und das ist verrückt, aber hier ist deine Nummer… So Lager, vielleicht?;Hey, ich hab dich erst getroffen \n und es ist verrückt \n aber hier ist deine Nummer \n Wie wär's mit nem Lager?;x;A1:  A2: x;;;
29054;x;;;;;;;;x;Kaputte Spülmaschine;Kaputte Spülmaschine;x;;;;
29437;;;;x;;;;;x;Was passiert wenn du 38 Jahre Wheaties isst;Was passieren \n kann wenn du \n 38 Jahre lang \n Wheaties isst;;A1: x A2: ;;;
29873;;;;;;;;;x;Wer wusste dass dieses Land voll White Trash ist;Wer hätte gedacht das dieses Land voll ist mit White Trash;A1:  A2: x;;;;
30145;;;;A1:  A2: x;;;;;x;Vor meiner Präsidentschaft gab es ISIS nicht. Es gab kein Kalifat es gab kein BLM. Es gab keine Antifa. Es gab keinen Krieg gegen die Polizei \n Ich habe das geschafft;Vor meiner Präsidentschaft\n gab es keinen IS. Es gab keinen Kalifat. \n  Es gab kein BLM. Es gab \n kein Antifa. Es gab keinen Krieg gegen die Polizei. \n Ich hab das gemacht.;;;;;
30148;A1: x A2: ;A1:  A2: x;;x;;;;;x;Du meinst ich muss \n es nicht erst pflücken?;Du meinst, ich muss \n es nicht pflücken?;x;;;;
30186;;;A1:  A2: x;;A1:  A2: x;;;x;;Such dir einen Mann, der dich niemals anrührt \n oder aus deinem Leben verschwindet;Hol dir einen Mann der niemals Hand an dich legen würde \n oder geh;;;;;
30586;;;;A1: x A2: ;x;;;x;;Kann einfach den Fleck nicht entfernen. Das ist warum ich rote Beete hasse;Ich krieg den Fleck nicht raus. \n Darum hasse ich Rüben.;;;;;
31702;;;;;;;;x;;Die Nazis haben Millionen Juden getötet;Die Nazis töteten Millionen von Juden;;;;;
31792;;;A1:  A2: x;;A1: x A2: ;;;A1: x A2: ;;Mmm…Diese Gasrechnung wird teuer;Mmmm... die Gasrechnung wird teuer;;A1:  A2: x;;;
32049;;;;;A1:  A2: x;;A1:  A2: x;A1: x A2: ;;deutsche, britische, dänische, österreichische Diversity.\n Scheinbar haben wir sie nicht und diese Leute haben sie: Iraker, Pakistaner, Syrer, Ägypter;Deutsche Briten Dänen Österreicher Diversität.\n Offensichtlich haben sie was wir nicht haben: Iraker, Pakistanis, Syrer, Ägypter;;A1:  A2: x;;;
32568;;;;A1:  A2: x;;;;x;;Amerika hat uns gelehrt wie wir glückliche Sklaven werden \n In der gleichen Weise wie Schule uns lehrt glückliche Angestellte zu werden;Amerika brachte uns bei wie man ein glücklicher Sklave ist \n genauso wie die Schule uns beibringt glückliche Angestellte zu sein;A1: x A2: ;;;;
32875;;;A1:  A2: x;;;;;x;;Wenn er die Nummer eins trägt \n ist er wahrscheinlich der schnellste im Team;Wenn er die Nummer eins trägt \n ist er wahrscheinlich \n der schnellste im Team;;;;;
34018;;;;A1:  A2: x;;;A1: x A2: ;A1:  A2: x;;Scheiß auf die Katholiken \n Scheiß auf die katholische Kirche Scheiß auf den Papst;Fick die Katholiken \n Fick die katholische Kirche \n fick den Papst;A1:  A2: x;;;;
34528;A1: x A2: ;A1:  A2: x;;;;;;;x;Jede Küche \n braucht einen Sandwichmaker genau wie diesen;Jede Küche \n braucht einen Sandwichmaker \n genau wie sie;x;A1:  A2: x;;;
34975;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;;Was ist wenn der einzige Grund warum Maria schwanger wurde… \n ist, weil Gott schwul ist und eine Leihmutter brauchte;Was ist wenn der einzige Grund \n dass Maria schwanger wurde ... \n der ist dass Gott schwul ist \n und eine Leihmutter gebracht hat;;;;;
35840;A1: x A2: ;A1:  A2: x;;;;;;;x;Ich habe eine Spülmaschine bestellt \n und sie haben mir einen Sandwichmaker geschickt;Ich habe eine Spülmaschine bestellt \n und einen Sandwichmaker bekommen.;x;;;;
36058;;;;;A1:  A2: x;;;x;;Liebe ist Liebe;Liebe ist Liebe.;;;;;
37198;;;;;A1:  A2: x;;;x;;Wenn du so entspannt bist, dass du fühlen kannst \n wie du zum nächsten Level kommst;Wenn du so entspannt bist \n dass du fühlst \n wie du zum nächsten Level kommst;;;;;
37912;;;;x;;;;x;;Derek Chauvin wird Schutz brauchen \n weil er auf jeden Fall attackiert werden wird;Derek Chauvin wird Schutz brauchen \n weil er ganz bestimmt angegriffen werden wird.;;;;;
38047;;;;;;;;A1:  A2: x;A1: x A2: ;"""Dumme Schlampe"" \n ist keine Rasse";"""Dumme Hure"" ist keine Rasse";;;;;
38195;;;;x;;;;;x;Ich sehe den \n Rauch auswandern;Ich sehe den Rauch aufsteigen;x;;;;
39261;;;;;x;;;;x;Es ist faszinierend wie die weltweit \n gefährlichsten Tiere die \n gleiche Art Bewegung haben;Es ist erstaunlich wie \n die gefährlichsten Tiere der Welt \n dieselben Bewegungen machen;;A1:  A2: x;;;
39264;;;A1:  A2: x;;;;;x;;Meine Frau hat mich einen guten Ehemann genannt \n das ist ein großes Kompliment!;Meine Frau nennt mich einen guten Ehemann \n das ist ein großes Kompliment;;;;;
39456;;;;;A1:  A2: x;;;x;;Filmabend!;Filmeabend!;;;;;
39578;A1: x A2: ;;;A1:  A2: x;;;;;x;Eine der Kugel, die sie aus einem der Opfer des \n Orlando Schwulendisco Amoklaufs geholt haben;Eine der Kugeln die sie \n aus einem Opfer des \n Anschlags von Orlando geholt haben;x;;;;
39607;;;;x;;;;;x;Diese dummen Bastarde \n haben gedacht es sei eine echte Dusche;Diese dummen Bastarde dachten, es seien echte Duschen;x;;;;
40395;;;A1: x A2: ;A1:  A2: x;A1:  A2: x;;;;x;Ein seltenes Bild wie jemand einen \n 1823 automatischen Baumwollpflücker startet;Ein seltenes Bild wie jemand mit einem Seilzug \n einen 1823 Baumwollernter startet;;x;;;
41058;;;A1: x A2: ;x;;;;x;;John Wilkes Stand so: \n seid ihr sicher Abraham Lincoln ist Tod? Er ist nicht hier oben;John Wilkes Booth so: \n seid ihr sicher dass Abraham \n Lincoln tot ist? Er ist nicht hier oben;;A1: x A2: ;;;
41276;;;A1:  A2: x;;;;;A1:  A2: x;A1: x A2: ;Evolution \n vom Bananen schälen \n zum zerbrechen von Kappen;Evolution \n vom Bananenschälen \n zum schießen;A1: x A2: ;A1: x A2: ;;;
41328;;;;;;;;x;;Koreaner;Koreaner;;;;;
41728;A1: x A2: ;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;Ich glaube sie sind wie Rassismus. \n Sollte nicht existieren;Ich glaube sie sind wie Rassismus. \n Sollten einfach nicht existieren;A1: x A2: ;;;;
41890;;;;x;;;;;x;Haus der Pädophilen;Haus der Pädophilen;A1: x A2: ;;;;
42361;;;;A1:  A2: x;A1:  A2: x;;;;x;Sehr schön, Mr. Aber als ich das letzte Mal nachgesehen habe \n hat Papier Stein geschlagen;Netter Versuch, mein Herr. Aber \n Papier schlägt Stein;;A1:  A2: x;;;
42501;;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;Wie Ferkel geboren werden;Wie Ferkel zur Welt kommen;;;;;
42580;A1: x A2: ;;;;;A1:  A2: x;x;;;Jack und Jill gehen den Hügel hoch, damit Jack ihre Süßigkeit lecken kann \n aber Jack hat einen Schock bekommen und einen Mund voll Schwanz weil Jill echter Name war Randy;Jack und Jill gingen einen Berg hoch \n so dass Jack ihre Süßigkeiten lecken konnte \n aber Jack bekam einen Schock und einen Mund voll Schwanz \n weil Julls echter Name \n Randy war;;;;;
42631;;;;;;;;;x;Ich glaube sie sind wie Rassismus \n sollten nicht existieren;Ich glaube sie sind wie Rassismus \n sie sollten einfach nicht existieren;x;;;;
43275;A1: x A2: ;A1:  A2: x;;;;;;;x;Mein Mann schubst mich immer herum…\n und redet hinter meinem Rücken;Mein Mann schubst mich immer rum ... \n und redet hinter meinem Rücken;;;;;
43805;;;;x;;;;;x;Die originale Vogelscheuche;Die Original Vogelscheuche;;;;;
43910;x;;;A1: x A2: ;;;;x;;Ich habe gerade eine Firma gegründet, die Landminen verkauft, die wie Gebetsteppiche aussehen \n Propheten gehen durch die Decke;Ich hab grad \n ne  Firma gegründet die \n Landminen verkauft die aussehen \n wie Gebetsmatten \n Propheten gehen \n durch die Decke;A1: x A2: ;;;;
45968;;A1: x A2: ;;;x;;;A1:  A2: x;A1: x A2: ;Denkst du sie ist wunderschön? \n Don Beck, noch nicht, aber sie ist auf dem Weg;Findest du sie schön? \n Don Beck noch nicht, aber es wird;;x;;;
46291;;;;;;;;x;;Ich werde verrückt \n wenn sich nicht alles um mich dreht!;Ich bin wütend \n wenn es nicht um mich geht;;;;;
46518;;;A1:  A2: x;;;;;A1:  A2: x;A1: x A2: ;Es ist der Ziegenficker,\n sieht aus als wären ein paar Schweine über dein Grab gelaufen;Hier der Ziegenficker \n sieht aus als sei ein Haufen Schweine über dein Grab gelaufen;x;;;;
46920;;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;Wir wollen die Sharia!! \n Gut… Dann geh nach Hause;Wir wollen das Sharia Gesetz \n dann ... geht nachhause;A1: x A2: ;;;;
46971;;;x;;;;A1:  A2: x;;A1: x A2: ;Tapferkeit \n vom Feinsten;Mut \n vom Feinsten;A1:  A2: x;A1: x A2: ;;;
47016;A1: x A2: ;A1:  A2: x;;x;;;;;x;"Das letzte Sommerlager \n war so ""lit""";"Letztes Sommerlager \n war so \n ""heiß""";x;A1:  A2: x;;;
47103;;;;;x;;;;x;Vielleicht wenn wir nicht ständig Quelle von Verbrechen wären \n würden wir besser behandelt werden;Vielleicht, wenn wir keine \n beständige Quelle von Verbrechen wären, \n würde man uns besser behandeln;;;;;
47162;A1: x A2: ;A1:  A2: x;;;;;;;x;Was haben diese beiden gemeinsam? \n Sie sind beide gut im Saugen \n Sie kommen beide mit einem Beutel;Was haben die beiden gemeinsam? \n Sie können beide saugen \n und kommen mit ner Tasche;x;;;;
47263;;;;x;;;;;x;Vorheizen auf 350 Grad;Vorheizen auf 350 Grad;x;;;;
47819;;;;;;;A1: x A2: ;A1:  A2: x;;Oh, Sucht ist keine Krankheit weil sie mit einer Wahl angefangen hat?? \n Erzähl mir mehr darüber warum die Chlamydien in deinem Schritt keine Krankheit sind obwohl es mit einer Wahl angefangen hat.;Ah, also Abhängigkeit ist keine Krankheit weil es \n mit einer Entscheidung begann? \n Erzähl mir mehr darüber wie die Chlamydien \n in deinem Schritt keine Krankheit sind, obwohl es \n mit einer Entscheidung begann;;;;;
47950;;;A1:  A2: x;A1: x A2: ;;;;x;;Demokraten Ilhan Omar Alexandria Ocasio-Cortez Ayanna Pressley Rashida Tlaib Wir sind neu, mutig und wir hassen euch! \n Wir hassen Weiße, Juden, Christen, Konservative, Republikaner;Demokraten \n Ihan Omar Alexandra Ocasio-Cortez \n Ayanna Pressley Rashida Ilais \n wir sind neu, wir sind mutig, und wir hassen euch!;;;;;
48296;;;;A1: x A2: ;;;;;x;Wenn du einen asiatischen Jungen datest und \n du versuchst, dass seine Familie dich akzeptierst;Wenn du einen Asiaten datest und \n versuchst seine Familie dazu zu kriegen dich zu akzeptieren;A1: x A2: ;;;;
48370;A1: x A2: ;;;A1:  A2: x;;;;;x;72 Jungfrauen sind bereit \n um gefickt zu werden;Die 72 Jungfrauen sind fertig \n um gefickt zu werden;x;;;;
48529;;;;;x;;;x;;Schweine sind wertvolle Kreaturen;Schweine sind wertvolle Kreaturen;;;;;
49028;A1: x A2: ;;;;;;;x;;Ich habe endlich den G-Punkt meiner Freundin gefunden \n Sieht so aus als wäre er die gesamte Zeit in ihrer Schwester gewesen;Ich hab endlich \n den G-Punkt meiner Freundin gefunden \n wie sich herausstellte war es \n die ganze Zeit ihre Schwester;;;;;
49260;A1:  A2: x;A1:  A2: x;A1:  A2: x;A1:  A2: x;x;A1:  A2: x;A1:  A2: x;A1:  A2: x;x;Es ist der Ziegenficker,\n sieht aus als wären ein paar Schweine über dein Grab gelaufen;x;A1:  A2: x;A1:  A2: x;;;
49650;;;;;A1:  A2: x;;;x;;Und dann habe ich Mama gefragt, \n was gibt es zum Abendessen;Und dann hab ich Mama gefragt \n Was gibt’s zum Abendessen?;A1:  A2: x;#REF!;;;
49826;;;A1: x A2: ;x;x;;;A1:  A2: x;A1: x A2: ;Weiße Menschen am Cinco de Mayo vs. \n jeden anderen Tag;Weiße am Cinco de Mayo vs \n jeden anderen Tag;A1:  A2: x;#REF!;;;
50241;A1: x A2: ;;;x;;;;;x;Schlampen so keine Frisur, \n kein Make-Up, keine Wimpern, \n keine Augenbrauen;Bitches so ohne Extensions, \n ohne Make-up, ohne Wimpern \n ohne Augenbrauen;A1: x A2: ;;;;
50261;;;;x;;;;;x;Die Hater werden sagen, dass ist Photoshop;Hater würden sagen das ist Photoshop;;;;;
50317;;;;A1:  A2: x;;;;x;;Was zur Hölle ist falsch mit Amerika \n Handtuchköpfe in den Kongress zu wählen;Was zur Hölle \n stimmt nicht mit Amerika \n Koftuchträger in den Kongress zu wählen;x;;;;
50389;;x;;;A1: x A2: ;;;;A1: x A2: ;Wenn deine Freunde fragen, ob du kiffen willst \n Was du gedacht hast, dass sie meinen;Wenn dein Freund fragt ob du stoned sein willst \n Was du verstanden hast;A1:  A2: x;A1: x A2: ;;;
51607;;;;A1: x A2: ;A1:  A2: x;;;;x;49 Menschen wurden in Christchurch getötet \n Muslim \n 49 Menschen wurden in Christchurch in einer Moschee getötet;49 Leute wurden in Christchurch getötet \n Moslem \n 49 Leute wurden in Christchurch Moscheen getötet \n Moslem;A1: x A2: ;;;;
51862;;;;;A1:  A2: x;;;;x;Menschen die sich über mich lustig machen sind Clowns und Feiglinge;Leute die sich über mich lustig machen sind Narren und Feiglinge;;;;;
52031;;x;;;;;;x;;Wirklich?? \n das ist verkorkst;Ernsthaft? \n Das ist abgemethed;A1:  A2: x;A1: x A2: ;;;
52104;;;A1:  A2: x;;;;;;x;Libanon: \n vor dem Islam \n nach dem Islam \n aber keine Sorge! Nachdem der Islam übernommen hat, wird es ein goldenes Zeitalter geben…offenbar;Libanon: \n Vorm Islam \n Nachm Islam \n Aber keine Sorge! \n Nach dem der Islam übernimmt kommt das goldene Zeitalter ... offensichtlich;A1: x A2: ;;;;
52319;;;;A1:  A2: x;A1:  A2: x;;;;x;Die Dreharbeiten zu Planet der Affen 2 \n hat angefangen;"Das Schießen von ""Planet der Affen 2"" \n hat begonnen";;;;;
52603;;;;;;;;A1:  A2: x;A1: x A2: ;Ich fühl mich niedlich heute, vielleicht klaue ich dein Zeug nachher… Ich weiß nicht;Fühl mich süß, könnte nachher dein Zeug klauen ... weiß nicht;A1: x A2: ;;;;
52634;;;;;;;A1: x A2: ;A1:  A2: x;;Das Geheimnis einer erfolgreichen Ehe \n ist seinen Bauch voll und seinen Sack leer zu halten;Das Geheimnis einer erfolgreichen Ehe \n ist seinen Magen voll \n  und seine Eier leer zu halten.;;;;;
53172;;;A1: x A2: ;;x;;;x;;Direkt aus dem Ofen \n erster Schritt: Das Gas aufdrehen;Frisch \n aus dem \n Ofen \n Schritt eins: Mach das Gas an ;A1:  A2: x;A1: x A2: ;;;
53609;;x;;A1:  A2: x;;;;;x;Wenn dein Freund darauf besteht das Essen zu bezahlen, du aber trotzdem dazu beitragen willst \n - nur das Trinkgeld, komm schon…lass mich;Wenn dein Freund darauf besteht für das Abendessen \n zu zahlen du aber dennoch was besteuern willst \n Nur das Trinkgeld. Komm schon, bitte ... lass mich;A1:  A2: x;#REF!;;;
53769;;;;;;;;x;;In 1979 hat Jimmy Carter das Schulministerium gegründet \n Seitdem ist die U.S.A vom ersten Platz in Bildung auf den 17. gerutscht;1979 hat Jimmy Carter \n das Bildungsministerium geschaffen \n Seitdem ist die USA von \n Platz 1 auf Platz 17 in Bildung gerutscht.;;;;;
53968;;;;A1: x A2: ;;;;;x;Wenn du einen 80 Punkte IQ hast, aber \n der der höchste in deinem Dorf ist;Wenn du einen IQ von 80 hast aber \n das der höchste in deinem Dorf ist;A1:  A2: x;;;;
54069;x;;;A1: x A2: ;;;;;x;Wenn du entscheidest, Vollgas zu geben;Wenn du dich entscheidest Vollgas zu geben;x;;;;
54206;;;;;A1:  A2: x;;;;x;Du kannst den Ekel und \n Hass auf diesem Bild riechen;Du kannst Ekel und Hass \n in diesem Foto riechen;;;;;
54780;A1: x A2: ;A1:  A2: x;;;;;;;x;Kaffeekocher in Reisegröße;Reisekaffeemaschine;x;;;;
54819;;;;;x;;;A1:  A2: x;A1: x A2: ;Beauty Shots von Freundinnen mit dem Fokus auf unterschiedliche Gedanken und Ideen;Beautyshot von Freundinnen die sich auf verschiedene Gedanken und Ideen konzentrieren.;;;;;
54893;;;;;;;A1: x A2: ;;A1:  A2: x;"Alte Leute auf Hochzeiten stupsen mich immer und sagen ""Du bist der nächste"" \n Also habe ich angefangen das selbe mit ihnen auf Beerdigungen zu machen";"Alte Leute auf Hochzeiten \n tippen mich immer an und sagen ""du bist der nächste!"" \n Also hab ich angefangen \n das Gleiche mit ihnen \n auf Beerdigungen zu machen";;;;;
54930;;;;A1: x A2: ;;;;x;;Nicht alle Muslime sind ISIS! \n Manche sind Al-Qaida, der Rest Taliban;Nicht alle Muslime sind beim IS! \n Manche sind bei Al-Qaida \n der Rest ist bei der Taliban;x;;;;
56098;;A1:  A2: x;;;A1: x A2: ;;;A1: x A2: ;A1:  A2: x;"Ich sagte \n ""Ein Glas Saft""";"Ich sagte \n ""Ein Glas Juden""";A1:  A2: x;;;;
56241;;;;;x;;;A1:  A2: x;A1: x A2: ;94% von ihnen testet positiv auf den Rhesus-Faktor, das heißt sie haben Affenblut \n Als Ergebnis werden sie alle mit einem Schwanz und anderen Tiermerkmalen geboren;94% haben einen positiven Rhesusfaktor, das heißt sie haben Affenblut \n folglich werden sie mit einem Schwanz und anderen tierischen Eigenschaften geboren;A1:  A2: x;;;;
56273;;;;;;;;A1:  A2: x;A1: x A2: ;Eine große Gruppe Nazis wurde unterschätzt;Eine große Nazigruppe wurde unterschätzt;A1:  A2: x;;;;
56413;A1: x A2: ;;A1:  A2: x;A1: x A2: ;;;;;x;Fühl mich niedlich \n vielleicht schieße ich ein Darkie später, ich weiß noch nicht;Fühle mich süß \n könnte nachher \n was Dunkles schießen;A1: x A2: ;;;;
56428;;A1: x A2: ;;A1:  A2: x;;A1:  A2: x;;A1: x A2: ;;Wenn der Shocker sie nicht rockt \n Spock sie;Wenn der Schocker Sie nicht rockt \n spock sie;;;;;
56803;;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;So ist es also das Gesetz zu brechen;So fühlt es sich also an das Gesetz zu brechen;;;;;
56947;;;A1:  A2: x;;A1: x A2: ;;;x;;Profi-Gamer \n 6.000.000 Kills, 1 Tod;Pro Gamer \n 6.000.000 Kills, 1 Tod;;;;;
57208;;;;;A1:  A2: x;;A1:  A2: x;;A1: x A2: ;Ich hatte Kartoffel zum Mittag;Ich hatte ne Kartoffel zum Mittagessen;;;;;
57896;;;;;A1:  A2: x;;;x;;Soldat kniet mit seiner Waffe;Soldat kniet mit seiner Waffe;;;;;
58213;;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;Ausschreitungen in Baltimore in 2015;Aufstände in Baltimore 2015;;;;;
58672;;;;A1: x A2: ;;;A1:  A2: x;;A1: x A2: ;Wusstest du, dass die Chinesen Hunde essen? Ekelhaft Wilde;Wusstet ihr dass die Chinesen Hunde essen? \n Ekelhafte \n Wilde;A1:  A2: x;;;;
59738;;;;A1: x A2: ;;;A1:  A2: x;A1: x A2: ;;Was ist der Unterschied zwischen einem Flüchtling und E.T. \n E.T. hat Englisch gelernt und wollte nach Hause;Was ist der Unterschied \n zwischen einem Flüchtling und E.T.? \n E.T. hat Englisch gelernt \n und wollte heim;x;;;;
59806;;A1: x A2: ;;A1:  A2: x;;A1:  A2: x;;A1:  A2: x;A1: x A2: ;Am Dienstag, den 3. November 2020, machen wir Amerika wieder groß \n dadurch, dass wir diesen Alptraum aus dem Amt wählen;Am Dienstag, den 03. November 2020 \n werden wir Amerika wieder groß machen \n in dem wir diesen \n Albtraum \n abwählen;;;;;
60183;;;;A1: x A2: ;;A1:  A2: x;;;x;Nein danke \n ich bin sehr zufrieden mit meiner Gaslieferung;Nein danke \n ich bin sehr glücklich mit meinem Gasanbieter;x;;;;
60724;;;;x;;;;;x;An den schwarzen Kerl der das Meme liest \n Ich bin dein Vater;An den schwarzen Typen der das liest \n ich bin dein Vater;A1: x A2: ;;;;
60893;;;;;;A1:  A2: x;;;x;Beschäftigt wie ein Bienenschwarm, kontrolliert was deine Familie sieht und bearbeitet alle Nachrichten, die du hörst, so dass du weißt was du denken und fürchten sollst \n Bis alle Wahrheit, die es gibt, vergangen ist. Das ist wahr außer ihr wehrt euch, in Masse.;Emsig, wie ein Bienenstock, kontrolliert was deine Familie \n sieht und ändert all die Nachrichten die du hörst \n so dass du weißt was du denkst und fürchtest \n bis all die Wahrheit die da ist, verschwindet, \n außer du stehst en masse.;;;;;
61349;;x;;;;;;;x;Der richtige Weg \n wie ein Mittesser entfernt wird;Der richtige Weg mit einem Schwarzkopf wegzukriegen;x;A1: x A2: ;;;
61503;;;;A1: x A2: ;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;Wer anders hat Kinder benutzt \n um eine Agenda zu verfolgen;Jemand anders hat Kinder benutzt, \n um seine Kampagne durchzukriegen;A1:  A2: x;;;;
62035;;;;A1:  A2: x;A1: x A2: ;;;;x;Gott sei dank, mein Arsch \n braucht eine Pause;Gott sei Dank, mein Arsch brauchte ne Pause;A1:  A2: x;;;;
62093;;;A1:  A2: x;;x;;;A1:  A2: x;A1: x A2: ;Wenn sie sagen Weiße wissen nicht wie man kocht;Wenn sie sagen Weiße wüssten nicht wie man kocht;;;;;
62094;;;A1:  A2: x;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;Diese Menschenrechtsbewegung hat angefangen \n weil sich hier etwas geändert hat \n Dank dieser Menschen;Diese Menschenrechtsbewegung hat angefangen \n durch Änderungen hier \n dank dieser Leute;;;;;
62581;;;;;A1:  A2: x;;;A1: x A2: ;;Du findest raus, dass Spongebob jüdisch ist;Wenn du rausfindest dass Spongebob jüdisch ist;A1:  A2: x;;;;
62948;;;;A1:  A2: x;;;;x;;"Black lives matter \n > ""Wie"", ""Warum"" und ""Wem"" ist unklar";"Schwarze Leben zählen \n > ""Wie"", ""Warum"", und \n ""Für wen"" ist unklar";x;;;;
63175;;;A1:  A2: x;A1:  A2: x;;;A1:  A2: x;;A1: x A2: ;Wenn ich unbeschnitten wäre, würde ich Süßigkeiten in meiner Vorhaut verstecken, so dass wenn ein Mädchen kurz davor ist mir einen zu blasen, sie eine angenehme Überraschung hat..\n Oh mein Gott, Skittles;Wenn ich nicht beschnitten wäre würde ich \n Süßigkeiten in meiner Vorhaut verstecken so dass wenn ein \n Mädel mit gerade einen Blasen will \n eine schöne Überraschung hat \n Oh mein Gott Skittles;;;;;
63280;;;;A1: x A2: ;;;;;x;So du vergibst den Deutschen niemals wegen dem Holocaust? \n Genau;Also werdet ihr niemals \n den Deutschen den Holocaust verzeihen? \n Genauso.;;;;;
63827;;;x;;;;;;x;Lehrer des Jahres für die Schwarze Community;Lehrer des Jahres für die schwarze Gesellschaft;A1: x A2: ;;;;
63987;;;;;A1:  A2: x;;;x;;Der Migranten \n Zug kommt an;Der Migrantenwagen ist angekommen;;A1:  A2: X;;;
64072;;;;x;;;;;x;Trump sagte, Einwanderer kommen her um deine Frau zu stehlen ist ein gutes Beispiel \n Sie hat meine Rede gestohlen;Trump sagte Immigranten kommen her \n und stehlen Deine Frau ist ein gutes Beispiel \n Sie hat meine Rede gestohlen;;A1: x A2: ;;;
